2016-03-15 10:28:24	幺白幺木CL	神之一手回放
2016-03-15 10:28:25	[爷]并不蠢的Sakura酱	就算AI赢了，但是为了人类尊严也得下←◡
2016-03-15 10:28:36	bule布鲁	原谅我没看过前几局
2016-03-15 10:28:44	大爱傻熊皂奥	说不定今天小李子还能来点惊喜呢
2016-03-15 10:28:46	殇伊雪	눈_눈
2016-03-15 10:28:48	幺白幺木CL	所以人类就是被感情左右了
2016-03-15 10:28:49	Davidwilliam	嗯 希望李世石今天赢下最后一局e
2016-03-15 10:29:03	大爱傻熊皂奥	高赔率的时候 我去买点哈哈
2016-03-15 10:29:06	大白兔锐雯	吵啊
2016-03-15 10:29:06	应舍真人	你们为啥老把AI放在对立面呢
2016-03-15 10:29:08	操作大神虐杀开挂	没看过没关系多看看就行
2016-03-15 10:29:13	Davidwilliam	这也是人类的一大特点啊e
2016-03-15 10:29:17	幺白幺木CL	李要赢啊  为了人类的尊严
2016-03-15 10:29:29	应舍真人	接着下第五局是为了让AI获得更多的成长素
2016-03-15 10:29:43	Chovan	有没有阿尔法狗的本子
2016-03-15 10:29:50	蒙古海盗	这是比赛录像
2016-03-15 10:29:52	快饿死的喵帕斯	……
2016-03-15 10:29:59	应舍真人	AI发展的越快，能为人类带来的便捷会更多
2016-03-15 10:29:59	Davidwilliam	你站还看机器人的本子 啧啧
2016-03-15 10:30:01	大白兔锐雯	开车了(づ ●─● )づ
2016-03-15 10:30:04	剑舞情缘	本子。。。
2016-03-15 10:30:05	快饿死的喵帕斯	为什么不是柯洁和李石头的本子。。
2016-03-15 10:30:06	幺白幺木CL	卧槽。。。那机器又学习到了。。世界第一估
2016-03-15 10:30:32	幺白幺木CL	难保
2016-03-15 10:31:16	大白兔锐雯	阿法狗化身萌娘的本子(づ ●─● )づ
2016-03-15 10:31:41	大爱傻熊皂奥	今天要是有9.9就买  哈哈
2016-03-15 10:32:12	漏油原理	今天奇迹不会再出现了
2016-03-15 10:32:15	欧根欧根欧丶丶	这围棋优势。别人想棋你也能想还不用你时间
2016-03-15 10:32:24	欧根欧根欧丶丶	赚的一B
2016-03-15 10:32:36	应舍真人	今天的赌局估计会32开
2016-03-15 10:32:54	大爱傻熊皂奥	刚刚我买到了5050的小李子9.9
2016-03-15 10:32:59	大爱傻熊皂奥	HOHO
2016-03-15 10:33:02	天地间的沙鸥	所以bug修复没
2016-03-15 10:33:16	人间戏言miro	不太可能修复
2016-03-15 10:33:20	Chovan	5050没了
2016-03-15 10:33:23	人间戏言miro	这不是说修复就修复
