136	146	42.000	122.688, 26.975, 0.000, 29.458, 1.462, 14.304, 10.308
78	83	31.375	103.057, 29.133, 2.738, 25.944, 1.250, 30.662, 0.750
288	302	17.588	49.666, 27.000, 0.346, 15.620, 1.529, 13.062, 2.294
182	193	11.929	35.661, 23.969, 0.143, 18.074, 0.500, 10.878, 2.571
74	77	34.833	84.648, 52.333, 2.667, 23.833, 0.000, 22.743, 1.500
236	241	12.250	36.965, 23.419, 0.625, 13.287, 1.125, 10.975, 2.451
3	9	6.333	13.028, 25.282, 0.000, 8.950, 1.111, 8.009, 2.333
412	414	11.800	36.792, 20.046, 0.000, 5.620, 2.200, 23.672, 5.400
201	205	4.857	15.204, 23.143, 0.000, 9.714, 0.286, 12.510, 2.000
207	210	9.333	36.077, 13.833, 0.000, 13.900, 3.167, 9.667, 1.000
331	338	9.200	22.536, 11.000, 0.000, 4.210, 0.600, 4.205, 0.900
168	172	15.714	53.391, 20.000, 0.286, 11.729, 1.143, 11.724, 3.000
226	230	10.429	33.414, 14.286, 0.397, 13.471, 0.286, 6.287, 2.000
195	199	8.286	27.524, 9.020, 1.110, 7.436, 0.286, 6.830, 1.286
324	327	9.833	34.080, 9.000, 0.000, 8.425, 2.167, 8.565, 1.500
133	134	22.500	47.735, 28.113, 0.000, 26.300, 0.500, 14.875, 7.500
173	173	27.667	94.907, 20.000, 0.000, 12.850, 0.667, 22.333, 5.000
489	491	10.400	36.686, 18.400, 0.400, 11.000, 0.800, 9.356, 1.800
418	421	9.833	27.900, 12.833, 0.000, 5.000, 0.333, 10.445, 0.500
27	28	6.250	17.088, 8.000, 0.000, 4.750, 2.250, 1.000, 0.000
243	245	6.800	19.974, 19.800, 0.000, 12.600, 1.000, 8.102, 0.600
485	487	13.000	32.742, 22.000, 0.400, 9.600, 0.600, 4.200, 0.600
493	494	-1.750	23.555, 6.000, 0.000, 4.138, 0.000, 16.835, 1.500
43	44	6.500	24.320, 3.500, 0.000, 4.000, 0.000, 7.000, 0.000
179	180	15.000	26.905, 37.000, 0.000, 5.250, 0.000, 10.000, 0.000
152	154	5.400	5.814, 27.600, 0.000, 9.620, 2.000, 5.300, 1.800
496	497	22.000	61.280, 4.000, 0.000, 2.872, 0.000, 1.885, 0.750
410	411	16.750	29.005, 27.308, 1.000, 5.500, 1.250, 9.515, 4.500
84	85	16.250	46.375, 20.000, 1.390, 6.492, 1.000, 11.500, 0.000
174	175	14.500	42.405, 10.500, 0.000, 2.888, 0.000, 11.500, 0.000
499	500	12.750	34.340, 3.750, 0.000, 2.242, 7.500, 3.000, 0.000
307	308	5.500	15.978, 15.250, 0.000, 10.000, 0.000, 7.987, 1.500
286	286	18.667	32.840, 29.333, 0.000, 2.000, 0.000, 2.000, 1.000
249	249	4.667	14.300, 4.000, 0.000, 3.183, 0.000, 6.537, 0.000
122	122	4.667	14.297, 5.667, 0.000, 4.517, 1.667, 4.870, 0.000
39	39	3.333	20.880, 1.667, 0.000, 10.227, 0.000, 2.333, 1.000
11	11	3.667	4.180, 16.667, 0.000, 2.000, 1.000, 10.000, 1.000
15	15	1.000	9.747, 15.333, 0.000, 20.667, 1.667, 10.667, 2.000
166	166	6.000	5.173, 26.333, 0.000, 6.000, 0.000, 9.667, 2.000
319	319	4.333	20.547, 1.667, 0.000, 1.667, 0.000, 13.000, 0.000
66	66	6.667	17.540, 18.000, 0.000, 10.667, 0.667, 6.667, 1.000
17	17	2.667	13.380, 4.667, 1.927, 7.183, 0.667, 1.333, 0.000
