135	1.0	0.640705	14	443	12167	22 minutes 30 seconds
145	0.838899652558	0.632134	9	286	12167	24 minutes 10 seconds
143	0.7654796634	0.604469	8	259	12167	23 minutes 50 seconds
79	0.761762459645	0.574009	9	280	12167	13 minutes 10 seconds
78	0.759812962245	0.57254	9	278	12167	13 minutes 0 seconds
173	0.758591034364	0.676394	6	190	12167	28 minutes 50 seconds
300	0.745402679165	0.588615	8	247	12167	50 minutes 0 seconds
81	0.74500660248	0.561383	9	285	12167	13 minutes 30 seconds
82	0.721232710066	0.601788	7	236	12167	13 minutes 40 seconds
299	0.702854195452	0.52962	9	277	12167	49 minutes 50 seconds
77	0.681676117748	0.493245	10	305	12167	12 minutes 50 seconds
189	0.680094860697	0.537044	8	241	12167	31 minutes 30 seconds
136	0.677023658652	0.457973	12	365	12167	22 minutes 40 seconds
412	0.665026905124	0.592968	6	201	12167	68 minutes 40 seconds
138	0.65760038164	0.519281	8	256	12167	23 minutes 0 seconds
137	0.651347642262	0.454797	11	330	12167	22 minutes 50 seconds
134	0.650481178051	0.454192	11	330	12167	22 minutes 20 seconds
184	0.641085355428	0.534914	7	227	12167	30 minutes 40 seconds
183	0.635400950382	0.530171	7	212	12167	30 minutes 30 seconds
185	0.630572614923	0.562247	6	194	12167	30 minutes 50 seconds
295	0.623827779101	0.556233	6	187	12167	49 minutes 10 seconds
191	0.620674058062	0.553421	6	203	12167	31 minutes 50 seconds
76	0.617085599482	0.464991	9	297	12167	12 minutes 40 seconds
298	0.613981632745	0.484837	8	242	12167	49 minutes 40 seconds
146	0.611174926769	0.591835	5	165	12167	24 minutes 20 seconds
83	0.610019476617	0.508993	7	210	12167	13 minutes 50 seconds
240	0.606262477984	0.587078	5	152	12167	40 minutes 0 seconds
296	0.602766863282	0.583693	5	170	12167	49 minutes 20 seconds
289	0.599766933973	0.580788	5	161	12167	48 minutes 10 seconds
190	0.598285129199	0.499202	7	231	12167	31 minutes 40 seconds
301	0.591763680224	0.573038	5	171	12167	50 minutes 10 seconds
80	0.588875904698	0.465012	8	266	12167	13 minutes 20 seconds
144	0.582974306929	0.407056	11	335	12167	24 minutes 0 seconds
229	0.577943111708	0.623054	4	125	12167	38 minutes 10 seconds
288	0.574391972539	0.556216	5	178	12167	48 minutes 0 seconds
140	0.573122811396	0.554987	5	165	12167	23 minutes 20 seconds
188	0.569676190673	0.507949	6	202	12167	31 minutes 20 seconds
172	0.553049585438	0.461458	7	223	12167	28 minutes 40 seconds
237	0.552134576337	0.595231	4	129	12167	39 minutes 30 seconds
204	0.546714626217	0.589388	4	130	12167	34 minutes 0 seconds
208	0.542078448274	0.524925	5	166	12167	34 minutes 40 seconds
139	0.539250408997	0.48082	6	200	12167	23 minutes 10 seconds
413	0.532940723873	0.475194	6	183	12167	68 minutes 50 seconds
141	0.522680626542	0.506141	5	155	12167	23 minutes 30 seconds
142	0.520452107627	0.503983	5	179	12167	23 minutes 40 seconds
192	0.516801473479	0.55714	4	143	12167	32 minutes 0 seconds
228	0.51594344612	0.556215	4	147	12167	38 minutes 0 seconds
302	0.509430786563	0.549194	4	132	12167	50 minutes 20 seconds
75	0.506574810217	0.42268	7	222	12167	12 minutes 30 seconds
292	0.50592261416	0.545412	4	125	12167	48 minutes 40 seconds
4	0.501752137395	0.540916	4	140	12167	0 minutes 40 seconds
197	0.500245221802	0.626098	3	110	12167	32 minutes 50 seconds
293	0.495753366657	0.534449	4	144	12167	48 minutes 50 seconds
186	0.492114393289	0.476542	5	168	12167	31 minutes 0 seconds
241	0.485073225538	0.607109	3	118	12167	40 minutes 10 seconds
205	0.481865382199	0.519477	4	121	12167	34 minutes 10 seconds
239	0.47390724918	0.458911	5	155	12167	39 minutes 50 seconds
28	0.472297947228	0.74591	2	87	12167	4 minutes 40 seconds
325	0.471242539692	0.508025	4	130	12167	54 minutes 10 seconds
209	0.467014551904	0.503467	4	139	12167	34 minutes 50 seconds
27	0.46649673846	0.583859	3	90	12167	4 minutes 30 seconds
238	0.460692049763	0.496651	4	147	12167	39 minutes 40 seconds
202	0.459865931309	0.57556	3	99	12167	33 minutes 40 seconds
